Movie_name,Release_Year,Time_duration,Imdb_Rating,Imdb_votes,Meta_score,movie_type,Director,Actors,Movie_Description
 Frozen,2013,1h 42m,7.4,687000.0,75.0,PG,sChris BuckJennifer Lee,Kristen BellIdina MenzelJonathan Groff,"Fearless optimist Anna teams up with rugged mountain man Kristoff and his loyal reindeer Sven in an epic journey to find Anna's sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter."
 Wonder Boys,2000,1h 47m,7.2,68000.0,74.0,R,Curtis Hanson,Michael DouglasTobey MaguireFrances McDormand,"An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in."
 Leaving Las Vegas,1995,1h 51m,7.5,140000.0,82.0,R,Mike Figgis,Nicolas CageElisabeth ShueJulian Sands,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
 Irreversible,2002,1h 37m,7.3,155000.0,51.0,Not Rated,Gaspar Noé,Monica BellucciVincent CasselAlbert Dupontel,Events over the course of one traumatic night in Paris unfold in reverse-chronological order.
 Lincoln,2012,2h 30m,7.3,278000.0,87.0,PG-13,Steven Spielberg,Daniel Day-LewisSally FieldDavid Strathairn,"As the Civil War rages on, U.S President Abraham Lincoln struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on his decision to emancipate the slaves."
 Zero Dark Thirty,2012,2h 37m,7.4,330000.0,95.0,R,Kathryn Bigelow,Jessica ChastainJoel EdgertonChris Pratt,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
 The Abyss,1989,2h 20m,7.5,201000.0,62.0,PG-13,James Cameron,Ed HarrisMary Elizabeth MastrantonioMichael Biehn,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.
 Monster's Ball,2001,1h 51m,7.0,96000.0,69.0,R,Marc Forster,Billy Bob ThorntonHalle BerryTaylor Simpson,"After a family tragedy, a racist prison guard re-examines his attitudes while falling in love with the African-American wife of the last prisoner he executed."
 Donnie Brasco,1997,2h 7m,7.7,344000.0,77.0,,Mike Newell,Al PacinoJohnny DeppMichael Madsen,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.
 Perfume: The Story of a Murderer,2006,2h 27m,7.5,273000.0,56.0,R,Tom Tykwer,Ben WhishawDustin HoffmanAlan Rickman,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
 The Skin I Live In,2011,2h,7.6,174000.0,70.0,R,Pedro Almodóvar,Antonio BanderasElena AnayaJan Cornet,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
 Prisoners,2013,2h 33m,8.2,868000.0,70.0,R,Denis Villeneuve,Hugh JackmanJake GyllenhaalViola Davis,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.
 Blood Diamond,2006,2h 23m,8.0,606000.0,64.0,R,Edward Zwick,Leonardo DiCaprioDjimon HounsouJennifer Connelly,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
 True Romance,1993,1h 59m,7.9,252000.0,59.0,R,Tony Scott,Christian SlaterPatricia ArquetteDennis Hopper,"In Detroit, a pop-culture enthusiast steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple."
 Boys Don't Cry,1999,1h 58m,7.5,106000.0,86.0,R,Kimberly Peirce,Hilary SwankChloë SevignyPeter Sarsgaard,"A young transgender man named Brandon navigates love, life, and trying to pass as a boy in rural Nebraska."
 Sophie's Choice,1982,2h 30m,7.5,55000.0,68.0,R,Alan J. Pakula,Meryl StreepKevin KlinePeter MacNicol,"Sophie is the survivor of Nazi concentration camps, who has found a reason to live with Nathan, a sparkling if unsteady American Jew obsessed with the Holocaust."
 Walk the Line,2005,2h 16m,7.8,274000.0,72.0,PG-13,James Mangold,Joaquin PhoenixReese WitherspoonGinnifer Goodwin,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
 The Machinist,2004,1h 41m,7.6,429000.0,61.0,R,Brad Anderson,Christian BaleJennifer Jason LeighAitana Sánchez-Gijón,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
 Mammoth,2009,2h 5m,6.8,11000.0,51.0,Not Rated,Lukas Moodysson,Gael García BernalMichelle WilliamsMarife Necesito,"When a father has to leave his family in New York, for a business trip to Thailand in the gaming industry, fatal destinies collide."
 Carrie,1976,1h 38m,7.4,217000.0,86.0,R,Brian De Palma,Sissy SpacekPiper LaurieAmy Irving,"Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom."
 A,2001,2h 26m,7.2,331000.0,65.0,PG-13,Steven Spielberg,Haley Joel OsmentJude LawFrances O'Connor,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother."
 Priceless,2006,1h 46m,7.0,34000.0,72.0,R,Pierre Salvadori,Audrey TautouGad ElmalehMarie-Christine Adam,"Jean, a shy waiter who works at a high-end hotel, is mistaken for a young millionaire by the beautiful and intriguing fortune hunter Irene."
 Les Misérables,2012,2h 38m,7.5,354000.0,63.0,PG-13,Tom Hooper,Hugh JackmanRussell CroweAnne Hathaway,"In 19th-century France, Jean Valjean, who, for decades, has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
 It's Complicated,2009,2h,6.5,101000.0,57.0,R,Nancy Meyers,Meryl StreepSteve MartinAlec Baldwin,"When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried."
 Chocolat,2000,2h 1m,7.2,206000.0,64.0,PG-13,Lasse Hallström,Juliette BinocheJohnny DeppJudi Dench,"Single mother Vianne Rocher and her young daughter arrive in a rural French town in the winter of 1959, and open an unusual chocolate shop that disrupts the moral fiber of the strictly Catholic townsfolk and mayor."
 A History of Violence,2005,1h 36m,7.4,264000.0,82.0,R,David Cronenberg,Viggo MortensenMaria BelloEd Harris,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core."
 Mulholland Drive,2001,2h 27m,7.9,406000.0,87.0,R,David Lynch,Naomi WattsLaura HarringJustin Theroux,"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
 Raging Bull,1980,2h 9m,8.1,395000.0,90.0,R,Martin Scorsese,Robert De NiroCathy MoriartyJoe Pesci,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
 The Crow,1994,1h 42m,7.5,222000.0,72.0,R,Alex Proyas,Brandon LeeMichael WincottRochelle Davis,"The night before his wedding, musician Eric Draven and his fiancée are brutally murdered by members of a violent gang. On the anniversary of their death, Eric rises from the grave and assumes the mantle of the Crow, a supernatural avenger."
 The Bridges of Madison County,1995,2h 15m,7.6,93000.0,69.0,PG-13,Clint Eastwood,Clint EastwoodMeryl StreepAnnie Corley,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
 Donnie Darko,2001,1h 53m,8.0,880000.0,88.0,R,Richard Kelly,Jake GyllenhaalJena MaloneMary McDonnell,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
 The Cider House Rules,1999,2h 6m,7.4,107000.0,75.0,PG-13,Lasse Hallström,Tobey MaguireCharlize TheronMichael Caine,"During World War II, an orphan grows up under the tutelage of a doctor who runs an orphanage. However, he yearns for freedom and soon decides to leave in order to make a life for himself."
 Spartacus,1960,3h 17m,7.9,148000.0,87.0,PG-13,sStanley KubrickAnthony Mann,Kirk DouglasLaurence OlivierTony Curtis,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
 Lethal Weapon,1987,1h 49m,7.6,286000.0,68.0,R,Richard Donner,Mel GibsonDanny GloverGary Busey,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.
 Mad Max,1979,1h 28m,6.8,238000.0,73.0,R,George Miller,Mel GibsonJoanne SamuelHugh Keays-Byrne,"In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang."
 The Blues Brothers,1980,2h 13m,7.9,222000.0,60.0,R,John Landis,John BelushiDan AykroydCab Calloway,"Jake Blues rejoins his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
 Dancer in the Dark,2000,2h 15m,7.9,120000.0,63.0,R,Lars von Trier,BjörkCatherine DeneuveDavid Morse,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
 Training Day,2001,2h 2m,7.8,495000.0,71.0,R,Antoine Fuqua,Denzel WashingtonEthan HawkeScott Glenn,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
 Sabrina,1954,1h 53m,7.6,73000.0,72.0,Approved,Billy Wilder,Humphrey BogartAudrey HepburnWilliam Holden,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her."
 Dark Passage,1947,1h 46m,7.5,23000.0,68.0,Approved,Delmer Daves,Humphrey BogartLauren BacallBruce Bennett,A man convicted of murdering his wife escapes from prison and works with a woman to try to prove his innocence.
 Marathon Man,1976,2h 5m,7.4,73000.0,64.0,R,John Schlesinger,Dustin HoffmanLaurence OlivierRoy Scheider,"After the murder of his older brother, a New York history student is hounded by shadowy government agents on the trail of a Nazi war criminal who is trying to retrieve smuggled diamonds."
 In the Bedroom,2001,2h 11m,7.4,43000.0,86.0,R,Todd Field,Tom WilkinsonSissy SpacekNick Stahl,A New England couple's college-aged son dates an older woman who has two small children and an unwelcome ex-husband.
 Thank You for Smoking,2005,1h 32m,7.5,232000.0,71.0,R,Jason Reitman,Aaron EckhartCameron BrightMaria Bello,"Satirical comedy follows the machinations of Big Tobacco's chief spokesman, Nick Naylor, who spins on behalf of cigarettes while trying to remain a role model for his 12-year-old son."
 RoboCop,1987,1h 42m,7.6,296000.0,70.0,R,Paul Verhoeven,Peter WellerNancy AllenDan O'Herlihy,"In a dystopian, crime-ridden Detroit, Michigan, young police officer Alex Murphy is brutally murdered by a ruthless gang, only to be resurrected by a powerful corporation as the cyborg RoboCop, who soon seeks revenge on his killers."
 Insomnia,2002,1h 58m,7.2,329000.0,78.0,R,Christopher Nolan,Al PacinoRobin WilliamsHilary Swank,A Los Angeles detective chases a murder suspect in a remote Alaskan town.
 Iron Man,2008,2h 6m,7.9,1200000.0,79.0,PG-13,Jon Favreau,Robert Downey Jr.Gwyneth PaltrowTerrence Howard,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
 Sleepy Hollow,1999,1h 45m,7.3,399000.0,65.0,R,Tim Burton,Johnny DeppChristina RicciMiranda Richardson,Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.
 Shaun of the Dead,2004,1h 39m,7.9,618000.0,76.0,R,Edgar Wright,Simon PeggNick FrostKate Ashfield,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse."
" They Shoot Horses, Don't They?",1969,2h 9m,7.8,22000.0,72.0,M,Sydney Pollack,Jane FondaMichael SarrazinSusannah York,The lives of a disparate group of contestants intertwine in a grueling and inhumane dance marathon.
 The Last Detail,1973,1h 44m,7.5,30000.0,86.0,R,Hal Ashby,Jack NicholsonRandy QuaidOtis Young,"Two Navy men are ordered to bring a young offender to prison, but decide to show him one last good time along the way."
 The Aviator,2004,2h 50m,7.5,394000.0,77.0,PG-13,Martin Scorsese,Leonardo DiCaprioCate BlanchettKate Beckinsale,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.
 127 Hours,2010,1h 34m,7.5,413000.0,82.0,R,Danny Boyle,James FrancoAmber TamblynKate Mara,"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive."
 Dogville,2003,2h 51m,8.0,164000.0,61.0,R,Lars von Trier,Nicole KidmanPaul BettanyLauren Bacall,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
 Dawn of the Dead,1978,2h 7m,7.8,133000.0,71.0,Unrated,George A. Romero,David EmgeKen ForeeScott H. Reiniger,"During an escalating zombie epidemic, two Philadelphia SWAT team members, a traffic reporter and his TV executive girlfriend seek refuge in a secluded shopping mall."
 The Orphanage,2007,1h 45m,7.4,167000.0,74.0,R,J.A. Bayona,Belén RuedaFernando CayoRoger Príncep,"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend."
 Crash,2004,1h 52m,7.7,455000.0,66.0,R,Paul Haggis,Don CheadleSandra BullockThandiwe Newton,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
 All the President's Men,1976,2h 18m,7.9,131000.0,84.0,PG,Alan J. Pakula,Dustin HoffmanRobert RedfordJack Warden,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
 No Man's Land,2001,1h 38m,7.9,50000.0,84.0,R,Danis Tanovic,Branko DjuricRene BitorajacFilip Sovagovic,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
 An Affair to Remember,1957,1h 55m,7.4,35000.0,71.0,Approved,Leo McCarey,Cary GrantDeborah KerrRichard Denning,A couple falls in love and agrees to meet in six months at the Empire State Building - but will it happen?
 Out of Sight,1998,2h 3m,7.0,103000.0,84.0,R,Steven Soderbergh,George ClooneyJennifer LopezVing Rhames,"A career bank robber breaks out of jail, and shares a moment of mutual attraction with a U.S. Marshal he has kidnapped."
 All About My Mother,1999,1h 41m,7.8,106000.0,87.0,R,Pedro Almodóvar,Cecilia RothMarisa ParedesCandela Peña,"A comedy-drama about a bereaved mother, an overwrought actress, her jealous lover, and a pregnant nun."
 The Life of David Gale,2003,2h 10m,7.5,129000.0,31.0,R,Alan Parker,Kevin SpaceyKate WinsletLaura Linney,A man against capital punishment is accused of murdering a fellow activist and is sent to death row.
 I Saw the Devil,2010,2h 24m,7.8,156000.0,67.0,Not Rated,Kim Jee-woon,Lee Byung-hunChoi Min-sikJeon Gook-hwan,A secret agent exacts revenge on a serial killer through a series of captures and releases.
 The Motorcycle Diaries,2004,2h 6m,7.7,107000.0,75.0,R,Walter Salles,Gael García BernalRodrigo de la SernaMía Maestro,"Ernesto Guevara de la Serna, popularly known as Che, along with his friend Alberto Granado, decides to take a road trip across South America. His experiences on the journey transform him."
 Looper,2012,1h 59m,7.4,616000.0,84.0,R,Rian Johnson,Joseph Gordon-LevittBruce WillisEmily Blunt,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
 The Caine Mutiny,1954,2h 4m,7.7,31000.0,63.0,Approved,Edward Dmytryk,Humphrey BogartJosé FerrerVan Johnson,"When a U.S. Naval captain shows signs of mental instability that jeopardises the ship, the first officer is urged to consider relieving him of command."
 Babel,2006,2h 23m,7.5,324000.0,69.0,R,Alejandro G. Iñárritu,Brad PittCate BlanchettGael García Bernal,"Tragedy strikes a married couple on vacation in the Moroccan desert, which jump starts an interlocking story involving four different families."
 GoldenEye,1995,2h 10m,7.2,277000.0,65.0,PG-13,Martin Campbell,Pierce BrosnanSean BeanIzabella Scorupco,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it."
 Enemy of the State,1998,2h 12m,7.3,267000.0,67.0,R,Tony Scott,Will SmithGene HackmanJon Voight,A lawyer becomes targeted by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a politically motivated crime.
 The Bourne Supremacy,2004,1h 48m,7.7,499000.0,73.0,PG-13,Paul Greengrass,Matt DamonFranka PotenteJoan Allen,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
 Sunshine,2007,1h 47m,7.2,276000.0,64.0,R,Danny Boyle,Cillian MurphyRose ByrneChris Evans,A team of international astronauts is sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.
 Pirates of the Caribbean: Dead Man's Chest,2006,2h 31m,7.4,795000.0,53.0,PG-13,Gore Verbinski,Johnny DeppOrlando BloomKeira Knightley,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
 The Dirty Dozen,1967,2h 30m,7.7,82000.0,73.0,Approved,Robert Aldrich,Lee MarvinErnest BorgnineCharles Bronson,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
 Sleepers,1996,2h 27m,7.5,245000.0,49.0,R,Barry Levinson,Robert De NiroKevin BaconBrad Pitt,A reporter and a District Attorney help childhood friends who killed a sadistic guard.
 Shrek,2001,1h 30m,7.9,771000.0,84.0,PG,sAndrew AdamsonVicky Jenson,Mike MyersEddie MurphyCameron Diaz,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
 Edward Scissorhands,1990,1h 45m,7.9,545000.0,74.0,PG-13,Tim Burton,Johnny DeppWinona RyderDianne Wiest,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.
 The Birds,1963,1h 59m,7.6,213000.0,90.0,PG-13,Alfred Hitchcock,Rod TaylorTippi HedrenJessica Tandy,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.
 Ghostbusters,1984,1h 45m,7.8,470000.0,71.0,PG,Ivan Reitman,Bill MurrayDan AykroydSigourney Weaver,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
 Midnight Run,1988,2h 6m,7.5,99000.0,78.0,R,Martin Brest,Robert De NiroCharles GrodinYaphet Kotto,"A bounty hunter pursues a former Mafia accountant who is also being chased by a rival bounty hunter, the F.B.I., and his old mob boss after jumping bail."
" Good Morning, Vietnam",1987,2h 1m,7.3,160000.0,67.0,R,Barry Levinson,Robin WilliamsForest WhitakerTom T. Tran,"In 1965, an unorthodox and irreverent DJ named Adrian Cronauer begins to shake up things when he is assigned to the U.S. Armed Services radio station in Vietnam."
 Match Point,2005,2h 4m,7.6,233000.0,72.0,R,Woody Allen,Scarlett JohanssonJonathan Rhys MeyersEmily Mortimer,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
 A Very Long Engagement,2004,2h 13m,7.6,77000.0,76.0,R,Jean-Pierre Jeunet,Audrey TautouGaspard UllielJodie Foster,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One."
 Ice Age,2002,1h 21m,7.5,542000.0,61.0,PG,sChris WedgeCarlos Saldanha,Denis LearyJohn LeguizamoRay Romano,"Manny the mammoth, Sid the loquacious sloth, and Diego the sabre-toothed tiger go on a comical quest to return a human baby back to his father, across a world on the brink of an ice age."
 The Secret in Their Eyes,2009,2h 9m,8.2,232000.0,80.0,R,Juan José Campanella,Ricardo DarínSoledad VillamilPablo Rago,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
" Girl, Interrupted",1999,2h 7m,7.3,224000.0,51.0,R,James Mangold,Winona RyderAngelina JolieClea DuVall,"Directionless teenager Susanna is rushed to Claymoore, a mental institution, after a supposed suicide attempt. There she befriends a group of troubled women who deeply influence her life."
 Gravity,2013,1h 31m,7.7,881000.0,96.0,PG-13,Alfonso Cuarón,Sandra BullockGeorge ClooneyEd Harris,"Dr Ryan Stone, an engineer on her first space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking."
 Titanic,1997,3h 14m,7.9,1300000.0,75.0,PG-13,James Cameron,Leonardo DiCaprioKate WinsletBilly Zane,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
 Easy Rider,1969,1h 35m,7.2,120000.0,85.0,R,Dennis Hopper,Peter FondaDennis HopperJack Nicholson,"Two bikers head from L.A. to New Orleans through the open country and desert lands, and along the way they meet a man who bridges a counter-culture gap of which they had been unaware."
 Garden State,2004,1h 42m,7.4,226000.0,67.0,R,Zach Braff,Zach BraffPeter SarsgaardNatalie Portman,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.
 They Live,1988,1h 34m,7.2,154000.0,55.0,R,John Carpenter,Roddy PiperKeith DavidMeg Foster,They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.
 Fear and Loathing in Las Vegas,1998,1h 58m,7.5,310000.0,41.0,R,Terry Gilliam,Johnny DeppBenicio Del ToroTobey Maguire,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.
 The Evil Dead,1981,1h 25m,7.4,242000.0,71.0,NC-17,Sam Raimi,Bruce CampbellEllen SandweissRichard DeManincor,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons."
 X-Men: Days of Future Past,2014,2h 12m,7.9,769000.0,75.0,PG-13,Bryan Singer,Patrick StewartIan McKellenHugh Jackman,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
 The Intouchables,2011,1h 52m,8.5,975000.0,57.0,R,sOlivier NakacheÉric Toledano,François CluzetOmar SyAnne Le Ny,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
 Dead Calm,1989,1h 36m,6.8,46000.0,70.0,R,Phillip Noyce,Nicole KidmanSam NeillBilly Zane,"After a tragedy, John Ingram and his wife Rae are spending some time isolated at sea, when they come across a stranger who has abandoned a sinking ship."
