Movie_name,Release_Year,Time_duration,Imdb_Rating,Imdb_votes,Meta_score,movie_type,Director,Actors,Movie_Description
 The Quiet American,2002,1h 41m,7.0,30000.0,84.0,R,Phillip Noyce,Michael CaineBrendan FraserDo Thi Hai Yen,An old British reporter vies with a young U.S. doctor for the affections of a beautiful Vietnamese woman.
 Lost Highway,1997,2h 14m,7.6,163000.0,53.0,R,David Lynch,Bill PullmanPatricia ArquetteJohn Roselius,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray."
 Minority Report,2002,2h 25m,7.6,601000.0,80.0,PG-13,Steven Spielberg,Tom CruiseColin FarrellSamantha Morton,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder."
 Eastern Promises,2007,1h 40m,7.6,270000.0,83.0,R,David Cronenberg,Naomi WattsViggo MortensenArmin Mueller-Stahl,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
 Ocean's Eleven,2001,1h 56m,7.7,644000.0,74.0,PG-13,Steven Soderbergh,George ClooneyBrad PittJulia Roberts,"Danny Ocean, a gangster, rounds up a gang of associates to stage a sophisticated and elaborate casino heist which involves robbing three Las Vegas casinos simultaneously during a popular boxing event."
 Water for Elephants,2011,2h,6.9,122000.0,52.0,PG-13,Francis Lawrence,Robert PattinsonReese WitherspoonChristoph Waltz,"Jacob takes a job as an animal caretaker in a traveling circus. There he meets Marlena, a beautiful circus performer. Their shared compassion for a special elephant Rosie leads to love, but Marlena's cruel husband stands in their way."
 Love Actually,2003,2h 15m,7.6,558000.0,55.0,R,Richard Curtis,Hugh GrantMartine McCutcheonLiam Neeson,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
 About Schmidt,2002,2h 5m,7.2,136000.0,85.0,R,Alexander Payne,Jack NicholsonHope DavisDermot Mulroney,"Newly retired from the insurance industry, Omaha native Warren Schmidt embarks on an RV journey to his estranged daughter Jeannie's wedding in Denver Colorado, only to discover more about himself and life than he ever expected."
 The Horse Whisperer,1998,2h 49m,6.7,45000.0,65.0,PG-13,Robert Redford,Robert RedfordKristin Scott ThomasSam Neill,The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse.
 Pan's Labyrinth,2006,1h 58m,8.2,723000.0,98.0,R,Guillermo del Toro,Ivana BaqueroAriadna GilSergi López,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks."
 Corpse Bride,2005,1h 17m,7.4,313000.0,83.0,PG,sTim BurtonMike Johnson,Johnny DeppHelena Bonham CarterEmily Watson,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her."
 Rosemary's Baby,1968,2h 17m,8.0,248000.0,96.0,R,Roman Polanski,Mia FarrowJohn CassavetesRuth Gordon,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors."
 The Station Agent,2003,1h 29m,7.6,75000.0,81.0,R,Tom McCarthy,Peter DinklagePatricia ClarksonBobby Cannavale,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss."
" Monsters, Inc",2001,1h 32m,8.1,1000000.0,79.0,G,sPete DocterDavid SilvermanLee Unkrich,Billy CrystalJohn GoodmanMary Gibbs,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
 Martyrs,2008,1h 39m,7.0,113000.0,83.0,R,Pascal Laugier,Morjana AlaouiMylène JampanoïCatherine Bégin,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity."
 The Sting,1973,2h 9m,8.3,290000.0,68.78,PG,George Roy Hill,Paul NewmanRobert RedfordRobert Shaw,Two grifters team up to pull off the ultimate con.
 My Fair Lady,1964,2h 50m,7.7,105000.0,95.0,G,George Cukor,Audrey HepburnRex HarrisonStanley Holloway,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make a crude flower girl, Eliza Doolittle, presentable in high society."
 The Virgin Suicides,1999,1h 37m,7.2,178000.0,77.0,R,Sofia Coppola,Kirsten DunstJosh HartnettJames Woods,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s."
 Moulin Rouge!,2001,2h 7m,7.6,307000.0,66.0,PG-13,Baz Luhrmann,Nicole KidmanEwan McGregorJohn Leguizamo,A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.
 Evil Dead II,1987,1h 24m,7.7,189000.0,72.0,R,Sam Raimi,Bruce CampbellSarah BerryDan Hicks,"Ash Williams, the lone survivor of an earlier onslaught of flesh-possessing spirits, holes up in a cabin with a group of strangers while the demons continue their attack."
 Biutiful,2010,2h 28m,7.4,96000.0,58.0,R,Alejandro G. Iñárritu,Javier BardemMaricel ÁlvarezHanaa Bouchaib,A man dying of cancer tries his best to leave the world on his own terms.
