Movie_name,Release_Year,Time_duration,Imdb_Rating,Movie_Description,Imdb_Votes,Meta_score
 Casino Royale,2006,2h 24m,8.0,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",716000.0,76.0
 Platoon,1986,2h,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",455000.0,60.0
 The Thin Red Line,1998,2h 50m,7.6,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",206000.0,62.0
 The Hunger Games: Catching Fire,2013,2h 26m,7.5,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,746000.0,79.0
 The Godfather Part III,1990,2h 42m,7.6,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",438000.0,79.0
 American History X,1998,1h 59m,8.5,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",1200000.0,86.0
 Dead Poets Society,1989,2h 8m,8.1,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",588000.0,76.0
 The Visitor,2007,1h 44m,7.6,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,45000.0,85.0
 Talk to Her,2002,1h 52m,7.9,Two men share an odd friendship while they care for two women who are both in deep comas.,120000.0,94.0
 The Girl with the Dragon Tattoo,2009,2h 32m,7.8,"Influential industrialist Vanger's niece Harriet disappeared under mysterious circumstances 40 years ago. As a last attempt at solving the case, he hires investigative journalist Mikael Blomkvist.",227000.0,57.0
 Das Boot,1981,2h 29m,8.4,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,279000.0,80.0
 Sideways,2004,2h 7m,7.5,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",210000.0,51.0
 Scent of a Woman,1992,2h 36m,8.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",349000.0,57.0
 Deliverance,1972,1h 49m,7.6,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",124000.0,73.0
 Taken,2008,1h 30m,7.7,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",654000.0,87.0
 Back to the Future Part II,1989,1h 48m,7.8,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",596000.0,63.0
 The Incredible Shrinking Man,1957,1h 21m,7.6,"After Scott Carey begins to shrink because of exposure to a combination of radiation and insecticide, medical science is powerless to help him.",21000.0,71.0
 The Fugitive,1993,2h 10m,7.8,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",332000.0,77.0
 Shutter Island,2010,2h 18m,8.2,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,1500000.0,76.0
 The Big Lebowski,1998,1h 57m,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",888000.0,61.0
 Last Tango in Paris,1972,2h 9m,6.8,A young Parisian woman meets a middle-aged American businessman who demands their clandestine relationship be based only on sex.,61000.0,77.0
 The Talented Mr,1999,2h 19m,7.4,"In late 1950s New York, a young underachiever named Tom Ripley is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures.",261000.0,86.0
 First Blood,1982,1h 33m,7.7,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,288000.0,73.0
 The Ghost Writer,2010,2h 8m,7.2,A ghostwriter uncovers a dark secret while working on the memoirs of England's former Prime Minister.,174000.0,80.0
 Million Dollar Baby,2004,2h 12m,8.1,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",744000.0,55.0
 The Man Who Wasn't There,2001,1h 56m,7.5,"A laconic, chain-smoking barber blackmails his wife's boss and lover for money to invest in dry cleaning, but his plan goes terribly wrong.",118000.0,68.0
 The Wrestler,2008,1h 49m,7.9,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",325000.0,61.0
 Harry Brown,2009,1h 43m,7.2,An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,93000.0,93.0
 The Bourne Identity,2002,1h 59m,7.8,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",593000.0,74.0
 La Cage aux Folles,1978,1h 37m,7.2,"The manager of a Saint-Tropez nightclub featuring drag entertainment, and his star attraction, are a gay couple. Madness ensues when his straight son brings home a fiancée and her ultra-conservative parents to meet them.",12000.0,80.0
 There Will Be Blood,2007,2h 38m,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",668000.0,59.0
 Billy Elliot,2000,1h 50m,7.7,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,148000.0,68.0
 Little Miss Sunshine,2006,1h 41m,7.8,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,536000.0,97.0
 The Hobbit: The Battle of the Five Armies,2014,2h 24m,7.4,Bilbo Baggins and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,595000.0,92.0
 The Hunger Games,2012,2h 22m,7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,1000000.0,77.0
 Psycho,1960,1h 49m,8.5,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,750000.0,52.0
 E,1982,1h 55m,7.9,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,453000.0,66.0
 Kramer vs,1979,1h 45m,7.8,"After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation.",161000.0,95.0
 Under the Tuscan Sun,2003,1h 53m,6.7,"Frances Mayes, a 35-year-old San Francisco writer, gets a divorce that leaves her with terminal writer's block and depression. Later, she decides to buy a house in Tuscany in order to change her life.",63000.0,87.0
 Transamerica,2005,1h 43m,7.3,"A transgender woman takes an unexpected journey when she learns that she had a son, now a teenage runaway hustling on the streets of New York.",43000.0,68.0
 WALL·E,2008,1h 38m,8.4,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",1300000.0,75.0
 Dirty Harry,1971,1h 42m,7.7,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.",175000.0,76.0
 Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,7.6,"As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination.",876000.0,90.0
 Stand by Me,1986,1h 29m,8.1,A writer recounts a childhood journey with his friends to find the body of a missing boy.,463000.0,53.0
 A Nightmare on Elm Street,1984,1h 31m,7.4,"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in real life.",277000.0,52.0
 Finding Nemo,2003,1h 40m,8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",1200000.0,64.0
 In the Mouth of Madness,1994,1h 35m,7.1,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,84000.0,83.0
 The Fifth Element,1997,2h 6m,7.6,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",526000.0,68.0
 The Sixth Sense,1999,1h 47m,8.2,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",1100000.0,66.0
 Amores Perros,2000,2h 34m,8.0,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",266000.0,59.0
 Jurassic Park,1993,2h 7m,8.2,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",1100000.0,80.0
 Carlito's Way,1993,2h 24m,7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",240000.0,71.0
 Army of Darkness,1992,1h 21m,7.4,"When Ash Williams is accidentally transported to 1300 A.D., he must retrieve the Necronomicon and battle an army of the dead in order to return home.",202000.0,84.0
 A Fish Called Wanda,1988,1h 48m,7.5,"In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool the very proper barrister Archibald Leach.",160000.0,60.0
 Good Will Hunting,1997,2h 6m,8.3,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1100000.0,94.0
 Cat on a Hot Tin Roof,1958,1h 48m,7.9,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,55000.0,73.0
 Total Recall,1990,1h 53m,7.5,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",367000.0,70.0
" Crouching Tiger, Hidden Dragon",2000,2h,7.9,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,288000.0,73.0
 Show Me Love,1998,1h 29m,7.5,"Two teenage girls in small-town Sweden. Elin is beautiful, popular, and bored with life. Agnes is friendless, sad, and secretly in love with Elin.",57000.0,76.0
 21 Grams,2003,2h 4m,7.6,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",250000.0,46.0
 Cape Fear,1991,2h 8m,7.3,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",226000.0,72.0
 Inside Man,2006,2h 9m,7.6,"A police detective, a bank robber and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",412000.0,72.0
 Sin City: A Dame to Kill For,2014,1h 42m,6.5,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,174000.0,74.0
 Groundhog Day,1993,1h 41m,8.0,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",714000.0,81.0
 JFK,1991,3h 9m,8.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,176000.0,56.0
 Black Hawk Down,2001,2h 24m,7.7,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",439000.0,58.0
 Bad Education,2004,1h 46m,7.4,An examination on the effect of Franco-era religious schooling and sexual abuse on the lives of two longtime friends.,65000.0,83.0
 Watchmen,2009,2h 42m,7.6,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history.",597000.0,74.0
 The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,1h 54m,7.0,"After living a long and colorful life, Allan Karlsson finds himself stuck in a nursing home. On his 100th birthday, he leaps out a window and begins an unexpected journey.",43000.0,75.0
 Lilya 4-Ever,2002,1h 49m,7.8,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",52000.0,58.0
 The Sea Inside,2004,2h 6m,8.0,"The factual story of Spaniard Ramon Sampedro, who fought a 28-year campaign in favor of euthanasia and his own right to die.",87000.0,56.0
 Catch Me If You Can,2002,2h 21m,8.1,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",1200000.0,63.0
 Man on the Moon,1999,1h 58m,7.4,The life and career of legendary comedian Andy Kaufman.,141000.0,63.0
 Alive,1993,2h 8m,7.1,"After crash-landing in the snowswept Andes, a Uruguayan rugby team has no choice but to turn to desperate measures in order to survive.",67000.0,58.0
 Spy Game,2001,2h 6m,7.1,Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.,172000.0,47.0
 Changeling,2008,2h 21m,7.7,"After Christine's son goes missing, she reaches out to the LAPD to find him, but when they try to pass off an impostor as her son to quiet public protests, she refuses to accept him or give up hope.",270000.0,66.0
 The Reader,2008,2h 4m,7.6,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",268000.0,69.0
 Predator,1987,1h 47m,7.8,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,475000.0,75.0
 Heist,2001,1h 49m,6.5,"A career jewel thief finds himself at tense odds with his longtime partner, a crime boss who sends his nephew to keep watch.",40000.0,79.0
 The Bank Job,2008,1h 51m,7.2,Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry along with a treasure trove of dirty secrets.,193000.0,70.0
 Blue Velvet,1986,2h,7.7,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",231000.0,86.0
 High Fidelity,2000,1h 53m,7.4,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",195000.0,92.0
 The Curious Case of Benjamin Button,2008,2h 46m,7.8,"Benjamin Button, born in 1918 with the physical state of an elderly man, ages in reverse. He experiences love and break-ups, ecstasy and sorrow, and timelessness by the time he dies in 2003 as a baby.",720000.0,96.0
 The English Patient,1996,2h 42m,7.4,"At the close of World War II, a young nurse tends to a badly burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.",208000.0,93.0
 The Wizard of Oz,1939,1h 42m,8.1,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",449000.0,56.0
 The Philadelphia Story,1940,1h 52m,7.8,"After a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",76000.0,62.0
 Rio Bravo,1959,2h 21m,8.0,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",71000.0,67.0
 The Chorus,2004,1h 37m,7.8,"Pierre, a successful orchestra conductor, returns home when his mother dies. He stumbles upon an old diary and recollects the childhood school memories and his music teacher Clement Mathieu.",69000.0,58.0
 Lord of War,2005,2h 2m,7.6,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,348000.0,54.0
" Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1,"When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",634000.0,78.42
 Big Fish,2003,2h 5m,8.0,A frustrated son tries to determine the fact from fiction in his dying father's life.,468000.0,78.42
 Dead Alive,1992,1h 44m,7.5,"A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors.",107000.0,78.42
