,Movie_name,Release_Year,Time_duration'M',Imdb_Rating,Imdb_votes,Meta_score,movie_type,Director,Actors,Movie_Description,Decade
14, Inception,2010,148,8.8,2700000,74,PG-13,Christopher Nolan,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010
15, The Lord of the Rings: The Fellowship of the Ring,2001,178,8.9,2100000,92,PG-13,Peter Jackson,Elijah WoodIan McKellenOrlando Bloom,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2000
16, Alien,1979,117,8.5,1000000,89,R,Ridley Scott,Sigourney WeaverTom SkerrittJohn Hurt,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",1970
17, Some Like It Hot,1959,121,8.2,294000,98,Approved,Billy Wilder,Marilyn MonroeTony CurtisJack Lemmon,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",1950
18, Blade Runner,1982,117,8.1,852000,84,R,Ridley Scott,Harrison FordRutger HauerSean Young,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,1980
19, Se7en,1995,127,8.6,1900000,65,R,David Fincher,Morgan FreemanBrad PittKevin Spacey,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1990
20, Apocalypse Now,1979,147,8.4,740000,94,R,Francis Ford Coppola,Martin SheenMarlon BrandoRobert Duvall,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,1970
21, 12 Angry Men,1957,96,9,922000,97,Approved,Sidney Lumet,Henry FondaLee J. CobbMartin Balsam,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,1950
22, The Lord of the Rings: The Two Towers,2002,179,8.8,1900000,87,PG-13,Peter Jackson,Elijah WoodIan McKellenViggo Mortensen,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2000
23, Terminator 2: Judgment Day,1991,137,8.6,1200000,75,R,James Cameron,Arnold SchwarzeneggerLinda HamiltonEdward Furlong,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",1990
24, Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,1200000,58,PG,Richard Marquand,Mark HamillHarrison FordCarrie Fisher,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",1980
25, Die Hard,1988,132,8.2,988000,72,R,John McTiernan,Bruce WillisAlan RickmanBonnie Bedelia,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,1980
26, Gone with the Wind,1939,238,8.2,346000,97,G,Victor Fleming,Clark GableVivien LeighThomas Mitchell,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,1930
27, Taxi Driver,1976,114,8.2,975000,94,R,Martin Scorsese,Robert De NiroJodie FosterCybill Shepherd,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",1970
28, Pulp Fiction,1994,154,8.9,2300000,95,R,Quentin Tarantino,John TravoltaUma ThurmanSamuel L. Jackson,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1990
29, The Bridge on the River Kwai,1957,161,8.1,241000,88,PG,David Lean,William HoldenAlec GuinnessJack Hawkins,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",1950
30, The Lion King,1994,88,8.5,1200000,88,G,sRoger AllersRob Minkoff,Matthew BroderickJeremy IronsJames Earl Jones,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1990
31, North by Northwest,1959,136,8.3,360000,98,Approved,Alfred Hitchcock,Cary GrantEva Marie SaintJames Mason,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",1950
32, Rear Window,1954,112,8.5,545000,100,PG,Alfred Hitchcock,James StewartGrace KellyWendell Corey,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,1950
33, Léon: The Professional,1994,110,8.5,1300000,64,R,Luc Besson,Jean RenoGary OldmanNatalie Portman,An Italian hit man protects a New York orphan.,1990
34, Back to the Future,1985,116,8.5,1400000,87,PG,Robert Zemeckis,Michael J. FoxChristopher LloydLea Thompson,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1980
35, Citizen Kane,1941,119,8.3,480000,100,PG,Orson Welles,Orson WellesJoseph CottenDorothy Comingore,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",1940
36, Goodfellas,1990,145,8.7,1300000,92,R,Martin Scorsese,Robert De NiroRay LiottaJoe Pesci,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",1990
37, Memento,2000,113,8.4,1400000,83,R,Christopher Nolan,Guy PearceCarrie-Anne MossJoe Pantoliano,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,2000
38, American Beauty,1999,122,8.3,1200000,84,R,Sam Mendes,Kevin SpaceyAnnette BeningThora Birch,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1990
39, As Good as It Gets,1997,139,7.7,328000,67,PG-13,James L. Brooks,Jack NicholsonHelen HuntGreg Kinnear,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",1990
40, Forrest Gump,1994,142,8.8,2400000,82,PG-13,Robert Zemeckis,Tom HanksRobin WrightGary Sinise,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",1990
41, Singin' in the Rain,1952,103,8.3,272000,99,G,sStanley DonenGene Kelly,Gene KellyDonald O'ConnorDebbie Reynolds,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,1950
42, Braveheart,1995,178,8.3,1100000,68,R,Mel Gibson,Mel GibsonSophie MarceauPatrick McGoohan,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1990
43, Saving Private Ryan,1998,169,8.6,1600000,91,R,Steven Spielberg,Tom HanksMatt DamonTom Sizemore,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1990
44, Rain Man,1988,133,8,564000,65,R,Barry Levinson,Dustin HoffmanTom CruiseValeria Golino,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",1980
45, The King's Speech,2010,118,8,721000,88,R,Tom Hooper,Colin FirthGeoffrey RushHelena Bonham Carter,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",2010
46, 2001: A Space Odyssey,1968,149,8.3,752000,84,G,Stanley Kubrick,Keir DulleaGary LockwoodWilliam Sylvester,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",1960
47, Kill Bill: Vol,2003,111,8.2,1200000,69,R,Quentin Tarantino,Uma ThurmanDavid CarradineDaryl Hannah,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",2000
48, Avanti!,1972,144,7.2,12000,90,R,Billy Wilder,Jack LemmonJuliet MillsClive Revill,A successful businessman goes to Italy to arrange for the return of his tycoon father's body--and discovers that Dad died with his long-time mistress.,1970
49," The Good, the Bad and the Ugly",1966,178,8.8,850000,78.42,R,Sergio Leone,Clint EastwoodEli WallachLee Van Cleef,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1960
50, Amélie,2001,122,8.3,817000,70,R,Jean-Pierre Jeunet,Audrey TautouMathieu KassovitzRufus,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",2000
51, Modern Times,1936,87,8.5,272000,96,G,Charles Chaplin,Charles ChaplinPaulette GoddardHenry Bergman,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1930
52, Lost in Translation,2003,102,7.7,510000,91,R,Sofia Coppola,Bill MurrayScarlett JohanssonGiovanni Ribisi,A fading movie star falls for a lonely young woman in Tokyo.,2000
53, Full Metal Jacket,1987,116,8.2,820000,78,R,Stanley Kubrick,Matthew ModineR. Lee ErmeyVincent D'Onofrio,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1980
54, Requiem for a Dream,2000,102,8.3,936000,71,NC-17,Darren Aronofsky,Ellen BurstynJared LetoJennifer Connelly,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,2000
55, Fight Club,1999,139,8.8,2500000,67,R,David Fincher,Brad PittEdward NortonMeat Loaf,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,1990
56, No Country for Old Men,2007,122,8.2,1100000,92,R,sEthan CoenJoel Coen,Tommy Lee JonesJavier BardemJosh Brolin,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,2000
57, Django Unchained,2012,165,8.5,1800000,81,R,Quentin Tarantino,Jamie FoxxChristoph WaltzLeonardo DiCaprio,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",2010
58, Children of Men,2006,109,7.9,547000,84,R,Alfonso Cuarón,Julianne MooreClive OwenChiwetel Ejiofor,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",2000
59, Ratatouille,2007,111,8.1,882000,96,G,sBrad BirdJan Pinkava,Brad GarrettLou RomanoPatton Oswalt,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,2000
60, The Lives of Others,2006,137,8.4,427000,89,R,Florian Henckel von Donnersmarck,Ulrich MüheMartina GedeckSebastian Koch,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",2000
61, The Prestige,2006,130,8.5,1500000,66,PG-13,Christopher Nolan,Christian BaleHugh JackmanScarlett Johansson,Rival 19th-century magicians engage in a bitter battle for trade secrets.,2000
62, V for Vendetta,2005,132,8.1,1200000,62,R,James McTeigue,Hugo WeavingNatalie PortmanRupert Graves,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",2000
63, Chinatown,1974,130,8.1,364000,92,R,Roman Polanski,Jack NicholsonFaye DunawayJohn Huston,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",1970
64, City of God,2002,130,8.6,835000,79,R,sFernando MeirellesKátia Lund,Alexandre RodriguesLeandro FirminoMatheus Nachtergaele,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",2000
65, To Have and Have Not,1944,100,7.8,40000,90,Approved,Howard Hawks,Humphrey BogartLauren BacallWalter Brennan,"During World War II, an American expatriate helps transport a French Resistance leader and his wife to Martinique while romancing a lounge singer.",1940
66, Fargo,1996,98,8.1,754000,88,R,sJoel CoenEthan Coen,William H. MacyFrances McDormandSteve Buscemi,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,1990
67, Life of Pi,2012,127,7.9,684000,79,PG,Ang Lee,Suraj SharmaIrrfan KhanAdil Hussain,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",2010
68, Slumdog Millionaire,2008,120,8,894000,84,R,sDanny BoyleLoveleen Tandan,Dev PatelFreida PintoSaurabh Shukla,"When a teenager from the slums of Mumbai is interrogated about his suspicious performance on a quiz show, he revisits various events from his past to explain how he knew all the answers.",2000
69, Vertigo,1958,128,8.3,444000,100,PG,Alfred Hitchcock,James StewartKim NovakBarbara Bel Geddes,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",1950
70, Trainspotting,1996,93,8.1,748000,83,R,Danny Boyle,Ewan McGregorEwen BremnerJonny Lee Miller,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",1990
71, Interstellar,2014,169,8.7,2300000,74,PG-13,Christopher Nolan,Matthew McConaugheyAnne HathawayJessica Chastain,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2010
72, The Thing,1982,109,8.2,497000,57,R,John Carpenter,Kurt RussellWilford BrimleyKeith David,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,1980
73, The Third Man,1949,104,8.1,189000,97,Approved,Carol Reed,Orson WellesJoseph CottenAlida Valli,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",1940
74, 12 Monkeys,1995,129,8,663000,75,R,Terry Gilliam,Bruce WillisMadeleine StoweBrad Pitt,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",1990
75, Life Is Beautiful,1997,116,8.6,776000,58,PG-13,Roberto Benigni,Roberto BenigniNicoletta BraschiGiorgio Cantarini,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",1990
76, The Pianist,2002,150,8.5,965000,85,R,Roman Polanski,Adrien BrodyThomas KretschmannFrank Finlay,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",2000
77, Magnolia,1999,188,8,337000,78,R,Paul Thomas Anderson,Tom CruiseJason RobardsJulianne Moore,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.",1990
78, The Dark Knight Rises,2012,164,8.4,1900000,78,PG-13,Christopher Nolan,Christian BaleTom HardyAnne Hathaway,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",2010
79, Star Wars: Episode VII - The Force Awakens,2015,138,7.8,997000,80,PG-13,J.J. Abrams,Daisy RidleyJohn BoyegaOscar Isaac,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",2010
80, The Hobbit: The Desolation of Smaug,2013,161,7.8,730000,66,PG-13,Peter Jackson,Ian McKellenMartin FreemanRichard Armitage,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim the Lonely Mountain, their homeland, from the dragon Smaug.",2010
81, Mad Max: Fury Road,2015,120,8.1,1200000,90,R,George Miller,Tom HardyCharlize TheronNicholas Hoult,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",2010
82, 12 Years a Slave,2013,134,8.1,763000,96,R,Steve McQueen,Chiwetel EjioforMichael Kenneth WilliamsMichael Fassbender,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",2010
83, Indiana Jones and the Last Crusade,1989,127,8.2,837000,65,PG-13,Steven Spielberg,Harrison FordSean ConneryAlison Doody,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",1980
84," O Brother, Where Art Thou?",2000,107,7.7,341000,69,PG-13,sJoel CoenEthan Coen,George ClooneyJohn TurturroTim Blake Nelson,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",2000
85, Inglourious Basterds,2009,153,8.4,1700000,69,R,Quentin Tarantino,Brad PittDiane KrugerEli Roth,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2000
86, The Departed,2006,151,8.5,1500000,85,R,Martin Scorsese,Leonardo DiCaprioMatt DamonJack Nicholson,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2000
87, A Beautiful Mind,2001,135,8.2,1000000,72,PG-13,Ron Howard,Russell CroweEd HarrisJennifer Connelly,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",2000
88, District 9,2009,112,7.9,734000,81,R,Neill Blomkamp,Sharlto CopleyDavid JamesJason Cope,"In a future Earth in which aliens are isolated in a remote ghetto, a government agent finds himself banished there.",2000
89, The Piano,1993,121,7.5,98000,89,R,Jane Campion,Holly HunterHarvey KeitelSam Neill,"In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker.",1990
90, Mystic River,2003,138,7.9,503000,84,R,Clint Eastwood,Sean PennTim RobbinsKevin Bacon,"The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing her.",2000
91, The Insider,1999,157,7.8,186000,85,R,Michael Mann,Russell CroweAl PacinoChristopher Plummer,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,1990
92, L,1997,138,8.2,640000,91,R,Curtis Hanson,Kevin SpaceyRussell CroweGuy Pearce,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",1990
93, Heat,1995,170,8.3,755000,76,R,Michael Mann,Al PacinoRobert De NiroVal Kilmer,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,1990
94, The Usual Suspects,1995,106,8.5,1200000,76,R,Bryan Singer,Kevin SpaceyGabriel ByrneChazz Palminteri,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,1990
95, Cool Hand Luke,1967,127,8,194000,92,Approved,Stuart Rosenberg,Paul NewmanGeorge KennedyStrother Martin,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",1960
96, Eternal Sunshine of the Spotless Mind,2004,108,8.3,1100000,89,R,Michel Gondry,Jim CarreyKate WinsletTom Wilkinson,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",2000
97, City Lights,1931,87,8.5,206000,99,G,Charles Chaplin,Charles ChaplinVirginia CherrillFlorence Lee,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1930
98, The Matrix,1999,136,8.7,2100000,73,R,sLana WachowskiLilly Wachowski,Keanu ReevesLaurence FishburneCarrie-Anne Moss,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1990
99, Sin City,2005,124,8,807000,74,R,sFrank MillerQuentin TarantinoRobert Rodriguez,Mickey RourkeClive OwenBruce Willis,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",2000
100, Misery,1990,107,7.8,249000,75,R,Rob Reiner,James CaanKathy BatesRichard Farnsworth,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",1990
101, What's Eating Gilbert Grape,1993,118,7.7,261000,73,PG-13,Lasse Hallström,Johnny DeppLeonardo DiCaprioJuliette Lewis,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,1990
102, Monty Python and the Holy Grail,1975,91,8.2,587000,91,PG,sTerry GilliamTerry Jones,Graham ChapmanJohn CleeseEric Idle,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",1970
103, The Deer Hunter,1978,183,8.1,375000,90,R,Michael Cimino,Robert De NiroChristopher WalkenJohn Cazale,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,1970
104, Scarface,1983,170,8.3,962000,65,R,Brian De Palma,Al PacinoMichelle PfeifferSteven Bauer,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",1980
105, A Clockwork Orange,1971,136,8.2,910000,77,R,Stanley Kubrick,Malcolm McDowellPatrick MageeMichael Bates,Alex DeLarge and his droogs barbarize a decaying near-future.,1970
106, The Elephant Man,1980,124,8.2,272000,78,PG,David Lynch,Anthony HopkinsJohn HurtAnne Bancroft,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",1980
107, Papillon,1973,151,8,142000,58,R,Franklin J. Schaffner,Steve McQueenDustin HoffmanVictor Jory,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape.",1970
108, Lawrence of Arabia,1962,227,8.3,328000,100,PG,David Lean,Peter O'TooleAlec GuinnessAnthony Quinn,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",1960
109, East of Eden,1955,118,7.8,50000,72,PG,Elia Kazan,James DeanRaymond MasseyJulie Harris,"Two brothers in 1910s California struggle to maintain the favor of their affectionate but strict, Bible-toting father as an old secret about their long-absent mother comes to light.",1950
110, Hotel Rwanda,2004,121,8.1,383000,79,PG-13,Terry George,Don CheadleSophie OkonedoJoaquin Phoenix,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",2000
111, Dances with Wolves,1990,181,8,300000,72,PG-13,Kevin Costner,Kevin CostnerMary McDonnellGraham Greene,A lieutenant assigned to a remote Civil War outpost starts questioning his purpose after making contact with a neighboring Sioux settlement.,1990
112, Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,1300000,63,PG-13,Gore Verbinski,Johnny DeppGeoffrey RushOrlando Bloom,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",2000
113, Batman Begins,2005,140,8.2,1600000,70,PG-13,Christopher Nolan,Christian BaleMichael CaineKen Watanabe,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",2000
114, Skyfall,2012,143,7.8,750000,81,PG-13,Sam Mendes,Daniel CraigJavier BardemNaomie Harris,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",2010
115, The Treasure of the Sierra Madre,1948,126,8.2,137000,98,Approved,John Huston,Humphrey BogartWalter HustonTim Holt,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,1940
116, The Untouchables,1987,119,7.8,343000,79,R,Brian De Palma,Kevin CostnerSean ConneryRobert De Niro,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him.",1980
117, The Truman Show,1998,103,8.2,1300000,90,PG,Peter Weir,Jim CarreyEd HarrisLaura Linney,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,1990
