,Movie_name,movie_type,Director,Actors,Movie_Description,Release_Year,Time_duration'M',Imdb_Rating,Imdb_votes,Meta_score,Decade
10, The Dark Knight,PG-13,Christopher Nolan,Christian BaleHeath LedgerAaron Eckhart,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",2008,152,9.0,323500,84.0,2000
11, The Godfather Part II,R,Francis Ford Coppola,Al PacinoRobert De NiroRobert Duvall,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,120,9.0,1400000,90.0,1970
12, Aliens,R,James Cameron,Sigourney WeaverMichael BiehnCarrie Henn,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",1986,137,8.4,807000,84.0,1980
13, Schindler's List,R,Steven Spielberg,Liam NeesonRalph FiennesBen Kingsley,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1993,120,9.0,1500000,95.0,1990
14, Inception,PG-13,Christopher Nolan,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010,148,8.8,323500,74.0,2010
15, The Lord of the Rings: The Fellowship of the Ring,PG-13,Peter Jackson,Elijah WoodIan McKellenOrlando Bloom,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001,120,8.9,323500,92.0,2000
16, Alien,R,Ridley Scott,Sigourney WeaverTom SkerrittJohn Hurt,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",1979,117,8.5,1000000,89.0,1970
17, Some Like It Hot,Approved,Billy Wilder,Marilyn MonroeTony CurtisJack Lemmon,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",1959,121,8.2,294000,98.0,1950
18, Blade Runner,R,Ridley Scott,Harrison FordRutger HauerSean Young,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,1982,117,8.1,852000,84.0,1980
19, Se7en,R,David Fincher,Morgan FreemanBrad PittKevin Spacey,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1995,127,8.6,323500,65.0,1990
20, Apocalypse Now,R,Francis Ford Coppola,Martin SheenMarlon BrandoRobert Duvall,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,1979,147,8.4,740000,94.0,1970
21, 12 Angry Men,Approved,Sidney Lumet,Henry FondaLee J. CobbMartin Balsam,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,1957,96,9.0,922000,97.0,1950
22, The Lord of the Rings: The Two Towers,PG-13,Peter Jackson,Elijah WoodIan McKellenViggo Mortensen,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002,120,8.8,323500,87.0,2000
23, Terminator 2: Judgment Day,R,James Cameron,Arnold SchwarzeneggerLinda HamiltonEdward Furlong,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",1991,137,8.6,1200000,75.0,1990
24, Star Wars: Episode VI - Return of the Jedi,PG,Richard Marquand,Mark HamillHarrison FordCarrie Fisher,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",1983,131,8.3,1200000,58.0,1980
25, Die Hard,R,John McTiernan,Bruce WillisAlan RickmanBonnie Bedelia,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,1988,132,8.2,988000,72.0,1980
26, Gone with the Wind,G,Victor Fleming,Clark GableVivien LeighThomas Mitchell,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,1939,120,8.2,346000,97.0,1930
27, Taxi Driver,R,Martin Scorsese,Robert De NiroJodie FosterCybill Shepherd,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",1976,114,8.2,975000,94.0,1970
28, Pulp Fiction,R,Quentin Tarantino,John TravoltaUma ThurmanSamuel L. Jackson,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994,154,8.9,323500,95.0,1990
29, The Bridge on the River Kwai,PG,David Lean,William HoldenAlec GuinnessJack Hawkins,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",1957,161,8.1,241000,88.0,1950
30, The Lion King,G,sRoger AllersRob Minkoff,Matthew BroderickJeremy IronsJames Earl Jones,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1994,88,8.5,1200000,88.0,1990
31, North by Northwest,Approved,Alfred Hitchcock,Cary GrantEva Marie SaintJames Mason,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",1959,136,8.3,360000,98.0,1950
32, Rear Window,PG,Alfred Hitchcock,James StewartGrace KellyWendell Corey,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,1954,112,8.5,545000,100.0,1950
33, Léon: The Professional,R,Luc Besson,Jean RenoGary OldmanNatalie Portman,An Italian hit man protects a New York orphan.,1994,110,8.5,1300000,64.0,1990
34, Back to the Future,PG,Robert Zemeckis,Michael J. FoxChristopher LloydLea Thompson,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1985,116,8.5,1400000,87.0,1980
