Movie_name,Release_Year,Time_duration,Imdb_Rating,Imdb_votes,Meta_score,movie_type,Director,Actors,Movie_Description
 Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,8.3,1200000.0,58.0,PG,Richard Marquand,Mark HamillHarrison FordCarrie Fisher,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
 Die Hard,1988,2h 12m,8.2,989000.0,72.0,R,John McTiernan,Bruce WillisAlan RickmanBonnie Bedelia,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
 Gone with the Wind,1939,3h 58m,8.2,346000.0,97.0,G,Victor Fleming,Clark GableVivien LeighThomas Mitchell,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
 Taxi Driver,1976,1h 54m,8.2,977000.0,94.0,R,Martin Scorsese,Robert De NiroJodie FosterCybill Shepherd,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
 Pulp Fiction,1994,2h 34m,8.9,2300000.0,95.0,R,Quentin Tarantino,John TravoltaUma ThurmanSamuel L. Jackson,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
 The Bridge on the River Kwai,1957,2h 41m,8.1,241000.0,88.0,PG,David Lean,William HoldenAlec GuinnessJack Hawkins,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
 The Lion King,1994,1h 28m,8.5,1200000.0,88.0,G,sRoger AllersRob Minkoff,Matthew BroderickJeremy IronsJames Earl Jones,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
 North by Northwest,1959,2h 16m,8.3,360000.0,98.0,Approved,Alfred Hitchcock,Cary GrantEva Marie SaintJames Mason,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
 Rear Window,1954,1h 52m,8.5,545000.0,100.0,PG,Alfred Hitchcock,James StewartGrace KellyWendell Corey,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.
 Léon: The Professional,1994,1h 50m,8.5,1300000.0,64.0,R,Luc Besson,Jean RenoGary OldmanNatalie Portman,An Italian hit man protects a New York orphan.
 Back to the Future,1985,1h 56m,8.5,1400000.0,87.0,PG,Robert Zemeckis,Michael J. FoxChristopher LloydLea Thompson,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
 Citizen Kane,1941,1h 59m,8.3,480000.0,100.0,PG,Orson Welles,Orson WellesJoseph CottenDorothy Comingore,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
 Goodfellas,1990,2h 25m,8.7,1300000.0,92.0,R,Martin Scorsese,Robert De NiroRay LiottaJoe Pesci,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
